test,subject,expected,actual,result,comments
SAVR4,IPv6 TCP table enumeration,TCP connect line with IPv6=1 and domain resolved (non-'(none)'),,NOT_DETECTED,no TCP connect line with IPv6=1 seen in run window
SAVR4,UDP table enumeration (sysinfo.jsonl),0 UDP-transport entries (udp_enumeration_shipped=false),0 UDP / 0 total sessions,PASS,
SAVR4,chrome.exe QUIC heuristic (sysinfo.jsonl),agent_process_is_quic present for this process,absent,NOT_DETECTED,chrome.exe not present in agent_process_info snapshot
SAVR5,DNS cache thread,DnsCache::TimerCallback present in log,present,PASS,
SAVR5,DNS cache inserts,DnsCache::Insert lines present in log,absent,FAIL,no DnsCache::Insert lines found -- IP-to-domain cache not being populated (known gap)
SAVR5,localhost domain mapping,TCP connect to 127.0.0.1 with domain=localhost,PID=6920 src=127.0.0.1 dst=127.0.0.1:61676 domain=localhost source=dns_etw,PASS,
SAVR5,ollama localhost endpoint,endpoint=localhost:11434 in detected_agents.json,endpoint=localhost:11434,PASS,
SAVR5,IP-to-domain cache lookup,DnsCacheLookup with source=ip_cache in log,absent,FAIL,no DnsCacheLookup lines found in log -- IP cache lookup not implemented in this build (known gap)
SAVR6,ollama.exe libraries,loaded_ai_libraries field present,loaded_ai_libraries=[] detection_method=ProcessAnalysis,PASS,
SAVR6,python.exe libraries,"loaded_ai_libraries contains ['torch_python.dll', 'torch_cpu.dll']","actual=['c10.dll', 'libiomp5md.dll', 'libiompstubs5md.dll', 'shm.dll', 'torch_cpu.dll', 'uv.dll', 'torch.dll', 'torch_global_deps.dll', 'torch_python.dll', '_C.cp314-win_amd64.pyd']",PASS,"unexpected additional libraries: ['c10.dll', 'libiomp5md.dll', 'libiompstubs5md.dll', 'shm.dll', 'uv.dll', 'torch.dll', 'torch_global_deps.dll', '_C.cp314-win_amd64.pyd']"
SAVR6,python.exe detection_method,LibraryAnalysis,LibraryAnalysis,PASS,
SAVR7,ollama.exe (PID 9108) (log),conf 0.9-0.95,0.95,PASS,
SAVR7,M365Copilot.exe (PID 8888) (log),conf 0.9-0.95,0.95,PASS,
SAVR7,ollama.exe (JSON),"conf 0.9-0.95, service_type=LocalModel",conf=0.95 service_type=LocalModel,PASS,
SAVR7,M365Copilot.exe (JSON),present in detected_agents.json,absent,FAIL,detected in log (conf 0.95) but not persisted to detected_agents.json
SAVR7,python.exe (PID 4632) library detection (log),conf 0.8-0.95,0.9,PASS,
